"Estacion","Fecha","Temp_max","Temp_min","Cantidad_ml"
"10,131","23/01/2011 ",38,21,0.1
"10,131","24/01/2011 ",37,19,NA
"10,131","25/01/2011 ",35,20,0
"10,131","26/01/2011 ",34,20,NA
"10,131","27/01/2011 ",36,19,13.3
"10,131","28/01/2011 ",29,19,NA
"10,131","29/01/2011 ",35,18,NA
"10,131","30/01/2011 ",34,22,0
"10,131","31/01/2011 ",32,21,NA
"10,131","01/02/2011 ",31,17,NA
"10,131","02/02/2011 ",37,19,NA
"10,131","03/02/2011 ",32,22,NA
"10,131","04/02/2011 ",33,19,NA
"10,131","05/02/2011 ",29,18,NA
"10,131","06/02/2011 ",31,18,NA
"10,131","07/02/2011 ",32,19,0.3
"10,131","08/02/2011 ",28,19,48.2
"10,131","09/02/2011 ",26,17,2.7
"10,131","10/02/2011 ",28,16,4
"10,131","11/02/2011 ",25,15,0.2
"10,131","12/02/2011 ",30,14,NA
"10,131","13/02/2011 ",31,19,1
"10,131","14/02/2011 ",33,20,NA
"10,131","15/02/2011 ",35,20,4.2
"10,131","16/02/2011 ",33,17,NA
"10,131","17/02/2011 ",29,20,NA
"10,131","18/02/2011 ",27,19,0.4
"10,131","19/02/2011 ",25,18,1.9
"10,131","20/02/2011 ",26,17,NA
"10,131","21/02/2011 ",30,18,NA
"10,131","22/02/2011 ",30,19,6
"10,131","23/02/2011 ",27,18,36.3
"10,131","24/02/2011 ",21,13,3.7
"10,131","25/02/2011 ",23,14,NA
"10,131","26/02/2011 ",30,14,NA
"10,131","27/02/2011 ",32,16,NA
"10,131","28/02/2011 ",32,17,NA
"10,131","01/03/2011 ",32,18,NA
"10,131","02/03/2011 ",31,20,0.5
"10,131","03/03/2011 ",29,21,1.3
"10,131","04/03/2011 ",30,19,0
"10,131","05/03/2011 ",30,19,2.2
"10,131","06/03/2011 ",28,20,0
"10,131","07/03/2011 ",29,16,NA
"10,131","08/03/2011 ",32,16,NA
"10,131","09/03/2011 ",33,18,NA
"10,131","10/03/2011 ",34,19,0
"10,131","11/03/2011 ",28,19,0
"10,131","12/03/2011 ",24,12,0.3
"10,131","13/03/2011 ",22,7,NA
"10,131","14/03/2011 ",25,10,NA
"10,131","15/03/2011 ",26,11,17
"10,131","16/03/2011 ",24,14,NA
"10,131","17/03/2011 ",24,13,NA
